	ID	Birth Year	Gender Flag	Skillset1	Skillset1 Weight	Skillset2	Skillset2 Weight	City of profile	Country of profile	Education	Elite Institution	Start Date	StartFlag	End Date	EndFlag	CurrentEmployFlag	Length	Role	Dept	Company	Company_Norm	Ticker	Exchange	PublicFlag	Location	Industry	EducationFlag	DegreeType	EliteFlag	Dummy1	Dummy2	Dummy3	Dummy4	Layoff Date	Company Name	Employees Affected
0	808a3ae7-b1ec-31f0-9335-8f49e4e10a40	1988	0	Web Development	0.9191456929999999	Software Engineering	0.06815633	Los Angeles	United States	5	1	2016/2/1	True	2017/2/1	True	False	366	Asoc Software Engineer,software engineer	TECHNOLOGY	Symantec	Symantec	SYMC	XNAS	TRUE	culver city	511210	False		False			BBG000BH2JM1	1.54E+12	2/1/2017	Symantec Corporation	87.0
1	43d4f687-4de8-39e0-91f4-ed90ba1e2862	1967	2	Human Resources	0.264015118	Human Resources	0.205493437	San Francisco	United States	4	0	2013/7/1	True	2014/10/1	True	False	457	Project Manager - Video/TelePresence,project manager		Cisco	Cisco	CSCO	XNAS	TRUE		334210	False		False			BBG000C3J3C9	1.54E+12	10/10/2014	Cisco Systems, Inc.	1005.0
2	6870e27a-1eb0-3be6-8878-43b3adc611cc	1964	0	Web Design	0.428620445	Digital Marketing	0.313888702	San Jose	United States	4	0	2015/7/1	True	2016/7/1	True	False	366	Web Producer,web,producer	TECHNOLOGY	Symantec	Symantec	SYMC	XNAS	TRUE		511210	False		False			BBG000BH2JM1	1.54E+12	6/10/2016	Symantec Corporation	15.0
3	8da0eaa5-8d1a-3360-986d-4ab1f5658930	1992	2	Software Engineering	0.7047563090000001	Web Development	0.284495589	New York	United States	4	0	2013/8/1	True	2015/7/1	True	False	699	Software Engineer,software engineer	TECHNOLOGY	Cisco	Cisco	CSCO	XNAS	TRUE		334210	False		False			BBG000C3J3C9	1.54E+12	7/22/2015	Cisco Systems, Inc.	192.0
4	f1794807-6618-3fcc-9714-728ff081f4b4	1987	1	Administration	0.46140620299999996	Administration	0.254008708	San Francisco	United States	4	0	2014/11/1	True	2015/12/1	True	False	395	Administrative Assistant to Global Head of Real Estate & Workplace,administrative assistant	OPERATIONS	Twitter	Twitter	TWTR	XNYS	TRUE	san francisco, california	519130	False		False			BBG000H6HNW3	1.54E+12	12/13/2015	Twitter, Inc.	240.0
5	73cd89ab-53b4-37e2-aa71-33b946454b8f	2001	2	Electrical Engineering	0.863073377	Web Development	0.063537786	San Rafael	United States	4	0	2012/9/1	True	2014/10/1	True	False	760	Firmware Engineer,engineer		Hewlett-Packard Company	Hewlett-Packard Company	HPQ	XNYS	TRUE	houston, texas area	33411	False		False			BBG000KHWT55	1.54E+12	10/24/2014	Hewlett-Packard Company	80.0
6	82321bfa-8b1f-303e-9b34-eb4a5af4ef2e	1958	2	Sales	0.5289975179999999	Mobile Telecommunications	0.259680328	San Francisco	United States	4	0	1997/1/1	False	2016/4/1	True	False	7030	"Program Manager Technical Services Talent Development,program manager,"","",technical,services,development"	HR	Cisco Systems	Cisco Systems	CSCO	XNAS	TRUE	san jose	334210	False		False			BBG000C3J3C9	1.54E+12	4/27/2016	Cisco Systems, Inc.	83.0
7	d4e4b1ab-2d1a-376c-b687-64db9fea38a2	1988	2	Software Engineering	0.765873459	Data Analysis	0.170808337	Cracow	Poland	4	1	2015/8/1	True	2018/5/1	True	False	1004	Architect,architect		General Electric Healthcare	General Electric Healthcare	GE	XNYS	TRUE	krakí_w (poland) / milwaukee (usa)	999977	False		False			BBG000BK6MB5	-5.23E+13	5/22/2018	General Electric Company	120.0
8	3344e700-230c-31be-b619-44b8020b18a6	2001	1	Human Resources	0.9308734129999999	Legal	0.031488465	Salem	United States	4	0	2014/8/1	True	2015/11/1	True	False	457	Senior Talent Acquisition Consultant via Manpower,senior,consultant	HR,ACCOUNTING	Intuit	Intuit	INTU	XNAS	TRUE	mountain view, ca	511210	False		False			BBG000BH5DV1	1.54E+12	10/26/2015	Intuit Inc.	55.0
9	69c3c1bc-c81a-3af3-8a9c-cae2cbf69853	2001	2	Software Engineering	0.475242383	Mobile Telecommunications	0.20333222899999998	San Francisco	United States	5	0	2014/1/1	False	2016/1/1	False	False	730	Technical Leader II (Inter Cloud Fabric),technical,leader,2		Cisco	Cisco	CSCO	XNAS	TRUE		334210	False		False			BBG000C3J3C9	1.54E+12	1/20/2016	Cisco Systems, Inc.	123.0
